potential,A,16,1,adj,潜在的な，起こり得る,latent,,,
primary,A,16,2,adj,主要な；第1位の,major,,,
content,A,16,3,noun,含有量，容量；中身,proportion,,,
satisfy,A,16,4,verb,（必要，条件）を満たす,meet,,,
race,A,16,5,noun,人種；民族,people(s),,,
religion,A,16,6,noun,信仰，宗教,faith,,,
negative,A,16,7,adj,否定的な；消極的な,rejecting,,,
traditional,A,16,8,adj,伝統的な；従来の,conventional,,,
pollution,A,16,9,noun,汚染；公害,contsmination,,,
democratic,A,16,10,noun,民主主義の,self-governing,,,
predominate,A,16,11,verb,（力・数・影響力で）優位を占める,prevail,,,
advance,A,16,12,verb,前進する；前払いする,move,,,
evidence,A,17,1,noun,証拠；根拠,proof,,,
prove,A,17,2,verb,証明する；判明する,demonstrate,,,
consist,A,17,3,verb,～から成り立つ；～に本質がある,comprise,,,
read-made,A,17,4,adj,既製の,read to war,,,
manufacture,A,17,5,verb,製造する，生産する,produce,,,
catch,A,17,6,verb,見つける，目撃する；間に合う,discover,,,
creativity,A,17,7,noun,創造性,originality,,,
construction,A,17,8,noun,建設，建築；構造,building,,,
brief,A,17,9,adj,簡潔な；短い,short,,,
experiment,A,17,10,noun,実験,test,,,
ironically,A,17,11,adv,皮肉を込めて,sarcastically,,,
attract,A,17,12,verb,引き付ける,capture,,,
enemy,A,18,1,noun,敵，かたき，敵対者,foe,natural enemy,,
differ,A,18,2,verb,異なる，意見が合わない,vary,Our views differ greatly in important ways.,,
ultimately,A,18,3,adv,最終的には，結局；根本的には,finally,lead a business ultimately to success,,
visible,A,18,4,adj,見える,perceptible,visible to the naked eye,,
exceed,A,18,5,verb,上回る，しのぐ,surpass,exceed one's expectations,,
plastic,A,18,6,noun,プラスチック,vinyl,a plastic bag,,
desire,A,18,7,noun,強い願望，欲望；要望,wish,satisfy a desire,,
recruitment,A,18,8,noun,新入社員募集；新兵募集,enlisting,the recruitment of a new employee,,
retirement,A,18,9,noun,退職，引退,resignation,a retirement allowance,,
lifetime,A,18,10,noun,一生，生涯,lifespan,the chance of a lifetime,,
lifetime,A,18,10,adj,一生の，終身の,lifespan,,,
invention,A,18,11,noun,発明，考案；発明品,innovation,take out a patent for invention,,
editor,A,18,12,noun,編集者，校訂者,compiler,an editor in chief,,
acceptance,A,19,1,noun,支持，容認；受け入れ,support,gain widesoread acceptance,,
punish,A,19,2,verb,罰する；刑をもって処する,penalize,ounish those convicted by a fine,,
control,A,19,3,verb,制御する，操作する，支配する,operate,This knob controls the volume.,,
emotion,A,19,4,noun,感情，情緒；感動,feeling,how to express honest emotion on stage,,
average,A,19,5,adj,平均的な；平均の,mean,the average score in the class,,
assumed,A,19,6,adj,仮定した；見せかけの,presumed,assumed innocence,,
duty,A,19,7,noun,義務；職務,obligation,the notions of right and duty,,
practise,A,19,8,verb,練習する；実績する,work out,practise the piano,,
progressive,A,19,9,adj,進歩的な；斬新的な,liberal,the progressive wing of the Labour Party,,
independence,A,19,10,noun,独立；自活,self-goverment,gain independence from Britain,,
factor,A,19,11,noun,要因,cause,factors contributing to global warming,,
atmosphere,A,19,12,noun,大気，雰囲気,air,the ozone layer in the atmosphere,,
sufficiently,A,20,1,adv,十分に,enough,,,
tiny,A,20,2,adj,小さい,diminutive,,,
consider,A,20,3,verb,よく考える,think,,,
beyond,A,20,4,prep,～を超えて；～以外に,over,,,
manmade,A,20,5,adj,人工の,synthetic,,,
survival,A,20,6,noun,生き延びること,endurance,,,
motivation,A,20,7,noun,モチベーション,motive,,,
profit,A,20,8,noun,利益,gain,,,
ancestor,A,20,9,noun,祖先，先祖,predecerssor,,,
settlement,A,20,10,noun,入植，定住；植民地,immigration,,,
characteristic,A,20,11,noun,特徴，特質,feature,,,
permanent,A,20,12,noun,永続的な,lasting,,,
shallow,A,21,1,adj,浅い,shoal,,,
hang,A,21,2,verb,吊るす,suspend,,,
branch,A,21,3,noun,枝；支流,bough,,,
autumn,A,21,4,noun,秋,fall,,,
recover,A,21,5,verb,回復する,recuperate,,,
courage,A,21,6,noun,勇気,bravery,,,
insurance,A,21,7,noun,保険,hedge,,,
escape,A,21,8,verb,逃れる,flee,,,
permit,A,21,9,verb,許可する,allow,,,
fear,A,21,10,noun,恐怖,dread,,,
origin,A,21,11,noun,起源，由来，素性,source,,,
record,A,21,12,noun,記録,document,,,
memorise,A,22,1,verb,暗記する,"learn ~ by
heart",,,
amateur,A,22,2,adj,素人の,non-professional,,,
maintenance,A,22,3,noun,維持；メンテナンス,upkeep,,,
huge,A,22,4,adj,巨大な；大量の,immense,,,
highland,A,22,5,noun,高地,upland,,,
overpopulation,A,22,6,noun,人口過剰,"surplus
population",,,
border,A,22,7,noun,境界（線）,boundary,,,
scenario,A,22,8,noun,筋書；脚本,synopsis,,,
destruction,A,22,9,noun,破壊；撲滅,demolition,,,
core,A,22,10,noun,中心部；核,centre,,,
pronounce,A,22,11,verb,発音する；公表する,articulate,,,
double,A,22,12,verb,2倍にする,duplicate,,,
per,A,23,1,perp,～につき,a,,,
preventive,A,23,2,adj,予防の，防止する；防げる,preventative,,,
standard,A,23,3,noun,基準，標準；正直，誠実,norm,,,
correlation,A,23,4,noun,相互関係,mutuality,,,
interest,A,23,5,noun,利息；興味,finance,,,
blind,A,23,6,adj,盲目の,sightless,,,
debt,A,23,7,noun,借金,borrowing,,,
foundation,A,23,8,noun,財団,base,,,
draw,A,23,9,verb,描く；線を引く,sketch,,,
sliding,A,23,10,adj,事情に応じて変わる，スライドする,adjustable,,,
extent,A,23,11,noun,程度，範囲,degree,,,
tuition,A,23,12,noun,教授；授業料,school fee,,,
delight,A,24,1,noun,大喜び，楽しみ,pleasure,be speechless with delight,,
alter,A,24,2,verb,変える；変わる,change,after one's diet for one's health,,
partly,A,24,3,adv,部分的に,partially,partly right but mostly wrong,,
undoubtly,A,24,4,adv,疑いなく,no doubt,undoubtly guilty,,
advantage,A,24,5,noun,利点，メリット,benefit,the advantage of good education,,
significance,A,24,6,noun,重要性；意義,importance,historical significance of the Industrial Revolution,,
industrialisation,A,24,7,noun,工業化，産業化,"having
industries",rapid industrialisation and urbanisation,,
prevention,A,24,8,noun,防止；予防,deterrence,the prevention of cruely to animals,,
precondition,A,24,9,noun,前提条件,prerequisite,require as a precondition,,
compare,A,24,10,verb,比較する；たとえる,contrast,compare between the advantages and disadvantages,,
chief,A,24,11,adj,最高位の；主要な,principal,Chief Executive Officer,,
urban,A,24,12,adj,都会の,city,a larger urban population,,
coal,A,25,1,noun,石炭,anthracite,a coal mine,炭鉱,
ingredient,A,25,2,noun,材料；構成要素,constituent,mix the ingredients for a pancake,パンケーキの材料を混ぜる,
burst,A,25,3,noun,爆発，破裂,explosion,a burst in population of China,中国の人口爆発,
rural,A,25,4,adj,田舎の,country,a quiet rural life,静かな田舎の生活,
class,A,25,5,noun,階級；水準,rank,a class discrimination,階級差別,
medical,A,25,6,adj,医学の，医術の,,medical staff in the hospital,その病院の医療スタッフ,
last,A,25,7,verb,もつ，続く,continue,This battery lasts a long time.,この電池は長持ちする。,
introduce,A,25,8,verb,導入する；紹介する,bring in,introduce a new system,新しい制度を導入する,
device,A,25,9,noun,装置；工夫,mechanism,a built-in safety device,内臓安全装置,
astonishing,A,25,10,adj,驚くほどの，目覚ましい,surprising,an astonishing numbr o f books in the national library,国立図書館の驚くべき数の本,
wheel,A,25,11,noun,輪；車輪,disc,a four-wheel drive car,四輪駆動車,
aid,A,25,12,noun,援助，救援,assistance,financial aid for international students,留学生への経済的援助,
recreational,A,26,1,adj,娯楽の,relaxative,recreational activities during the vacation,,
budget,A,26,2,noun,予算,financial plan,cut the annual budget,,
luxury,A,26,3,noun,ぜいたく,profusion,the luxuries of the rich,,
income,A,26,4,noun,収入,earnings,a gap between income and expenses,,
imply,A,26,5,verb,暗示する，ほのめかす,implicate,His silence implied agreement.,,
inequality,A,26,6,noun,不平等,imbalance,the inequality between the rich and the poor,,
selective,A,26,7,adj,選択的な；選択能力のある,elective,a new type created through slective breeding,,
greet,A,26,8,verb,迎え入れる；挨拶する,welcome,greet the prize winner with applause,,
praise,A,26,9,verb,称賛する,admire,praise an achievement,,
breath,A,26,10,noun,息，呼吸,breathing,breath alcohol test,,
system,A,26,11,noun,制度，体制,establishment,a social security system,,
physician,A,26,12,noun,医者，内科医,doctor,consult a physician,,
treatment,A,27,1,noun,取り扱い；治療,handling,equal treatment for men and women,,
accidental,A,27,2,adj,不慮の，偶然の,incidental,an accidental death,,
pill,A,27,3,noun,錠剤,tablet,a sleeping pill,,
poet,A,27,4,noun,詩人,writer of verse,quote a poet,,
existence,A,27,5,noun,存在,being,believe in the existence after death,,
distant,A,27,6,adj,遠い；離れた,remote,distant future,,
volcano,A,27,7,noun,火山,,eruption of a volcano,,
court,A,27,8,noun,裁判所,judicatory,the Supreme Court,,
latter,A,27,9,adj,後の,posterior,latter half of the century,,
desert,A,27,10,noun,砂漠；不毛の土地,sands,turn to desert,,
partronage,A,27,11,noun,後援,sponsorship,under the patronage of,,
nuclear,A,27,12,adj,原子力の,atomic,nuclear weapons,,
resident,A,28,1,noun,移住者，在住者,inhabitant,,,
concentration,A,28,2,noun,集中,convergence,,,
volatile,A,28,3,adj,発揮性の,explosive,,,
territory,A,28,4,noun,領土，領域,realm,,,
uncomfortable,A,28,5,adj,心地よくない；気詰まりな,unpleasant,,,
thermometer,A,28,6,noun,温度計，寒温計,"heat
indicator",,,
interior,A,28,7,adj,内部の,internal,,,
bounce,A,28,8,verb,跳ね返す；跳ね返る,rebound,,,
spring,A,28,9,noun,泉；湧水,fountain,,,
seed,A,28,10,noun,種（たね）,pip,,,
grain,A,28,11,noun,穀物；粒子,cereal,,,
equator,A,28,12,noun,赤道,"equatorial
line",,,
alarmingly,A,29,1,adv,驚くほどに,surprisingly,finish in an alarmingly short time,驚くほど短時間で終える,
radically,A,29,2,adv,根本的に；過激に,fundaentally,be radically different from his idea,彼の意見と根本から異なる,
exceptionally,A,29,3,adv,並外れて；例外的に,extraordinally,an exceptionally talented artist,並外れた才能のある芸術家,
positive,A,29,4,adj,肯定的な，前向きの；楽観的な,affirmative,feel positive about the new policy,新方針を前向きに受け止める,
bandage,A,29,5,noun,包帯,dressing,apply a bandage to a wound,傷に包帯をする,
valuable,A,29,6,adj,貴重な；高価な,precious,offer valuable lesson,貴重な教訓を与える,invaluableも「貴重な」の意味
tale,A,29,7,noun,物語,story,fairy tales,おとぎ話,
up-to-date,A,29,8,adj,最新の,latest,provide up-to-date information,最新情報を提供する,cutting-edgeも同義語．state-of-the-artは「技術が最先端の」。
frustration,A,29,9,noun,欲求不満；挫折,discontent,get rid of the frustration,欲求不満を解消する,
lead,A,29,10,verb,導く；仕向ける,conduce,lead a person to success,人を成功に導く,
mentally,A,29,11,adv,精神的に,spiritually,be mentally and physically exhausted,心身ともに疲れ果てている,
lease,A,29,12,verb,賃借する；賃貸する,let,lease the land from a famer,農民から土地を借りる,
